marca,modelo,año,kilometraje,version,transmision,precio (MXN),ubicacion
Mg,Zs,2022,37094,1.5 EXCITE AUTO,Automático,280999,Ciudad de México
Nissan,Sentra,2021,22200,2.0 ADVANCE CVT,Automático,296999,Ciudad de México
Chevrolet,Onix,2021,34046,1.0 LS A,Manual,202999,Ciudad de México
Audi,A3,2019,53883,1.4 35 SELECT DCT,Automático,318999,Ciudad de México
Mg,MG5,2023,12300,1.5 ELEGANCE,Manual,215999,Ciudad de México
Chevrolet,Cruze,2017,77809,1.4 LS A TURBO MT,Manual,186999,Querétaro
Mazda,Mazda 3,2017,47000,2.5 SEDÁN S TA,Automático,230999,Monterrey
Honda,City,2019,36634,1.5 EX CVT,Automático,254999,Ciudad de México
Mazda,Mazda 3,2017,86000,2.5 SEDÁN S GRAND TOURING TA,Automático,214999,Monterrey
Mazda,Mazda 3,2021,66831,2.5 I SPORT,Manual,284999,Ciudad de México
Mazda,MX-5,2023,8000,2.0 I SPORT MT,Manual,428999,Guadalajara
Kia,Soul,2020,38000,2.0 EX IVT AUTO,Automático,273999,Ciudad de México
Ford,Bronco Sport,2021,23000,2.0 BADLANDS AUTO 4WD,Automático,542999,Ciudad de México
Hyundai,Tucson,2022,24220,2.5 LIMITED TECH AUTO,Automático,506999,Ciudad de México
Mazda,CX-5,2021,60303,2.5 I SPORT AUTO,Automático,346999,Ciudad de México
Ford,Bronco Sport,2021,27294,1.5 OUTER BANKS AUTO 4WD,Automático,525999,Ciudad de México
Volvo,XC60,2019,25695,2.0 RDESIGN T6 AUTO AWD,Automático,537999,Ciudad de México
Bmw,Serie 2,2017,103293,220IA GRAN TOURER LUXURY LINE,Automático,273999,Ciudad de México
Chevrolet,Trax,2018,73500,1.8 B LT AUTO,Automático,196999,Monterrey
Nissan,X-Trail,2022,20867,2.5 ADVANCE 2 ROW CVT,Automático,425999,Cuernavaca
Bmw,X1,2020,51888,2.0 SDRIVE20IA X LINE DCT,Automático,423999,Guadalajara
Hyundai,Tucson,2019,46000,2.0 GLS PREMIUM AUTO,Automático,311999,Guadalajara
Mini,Cooper S,2021,13547,2.0 COOPER S SALT DCT,Automático,413999,Ciudad de México
Renault,Kwid,2023,19329,1.0 BITONO,Manual,210999,Ciudad de México
Seat,Ibiza,2019,54174,1.6 STYLE URBAN PLUS AUTO,Automático,235999,Ciudad de México
Buick,Encore,2020,45455,1.3 LEATHER AUTO,Automático,332999,Ciudad de México
Mercedes Benz,Clase GLA,2017,68596,1.6 GLA 200 CGI SPORT,Automático,328999,Ciudad de México
Ford,EcoSport,2021,22632,2.0 TITANIUM AUTO,Automático,316999,Ciudad de México
Volvo,XC40,2020,60598,2.0 T5 MOMENTUM AUTO 4WD,Automático,460999,Ciudad de México
Jeep,Compass,2019,50072,2.4 LIMITED PREMIUM AUTO,Automático,356999,Ciudad de México
Chevrolet,Trax,2020,37202,1.8 LT B AUTO,Automático,257999,Ciudad de México
Volkswagen,Tiguan,2022,8682,1.4 COMFORTLINE 3 FILA DCT,Automático,511999,Ciudad de México
Mazda,CX-3,2021,43136,2.0 I GRAND TOURING 2WD AT,Automático,336999,Ciudad de México
Volkswagen,Tiguan,2022,43848,1.4 COMFORTLINE DCT,Automático,438999,Ciudad de México
Volkswagen,Tiguan,2020,41605,1.4 COMFORTLINE 3 FILA DCT,Automático,390999,Ciudad de México
Mg,MG5,2022,18797,1.5 EXCITE CVT,Automático,230999,Ciudad de México
Volkswagen,Tiguan,2019,61000,1.4 COMFORTLINE PIEL DCT,Automático,355999,Puebla
Audi,A3,2020,36624,1.4 35 TFSI DYNAMIC DCT,Automático,374999,Ciudad de México
Suzuki,Ignis,2019,54044,1.2 GL,Manual,181999,Monterrey
Toyota,Prius C,2018,55386,1.5 HYBRID AUTO,Automático,250999,Ciudad de México
Honda,HR-V,2020,32854,1.8 PRIME CVT,Automático,335999,Ciudad de México
Nissan,X-Trail,2017,43695,2.5 ADVANCE 2 ROW AUTO,Automático,254999,Ciudad de México
Kia,Sportage,2019,72804,2.0 EX PACK AUTO,Automático,294999,Ciudad de México
Mazda,CX-5,2021,34219,2.5 I GRAND TOURING AUTO,Automático,416999,Ciudad de México
Renault,Duster,2020,20072,2.0 ZEN DEH,Manual,208999,Ciudad de México
Kia,Niro,2021,21151,HEV 1.6 EX DCT,Automático,418999,Ciudad de México
Acura,RDX,2016,95746,3.5 AWD AT,Automático,246999,Ciudad de México
Kia,Sorento,2022,35684,2.5 EX PACK AUTO,Automático,570999,Ciudad de México
Mazda,CX-3,2017,66782,2.0 I SPORT 2WD AT,Automático,241999,Ciudad de México
Kia,Sportage,2022,24533,2.0 LX AUTO,Automático,356999,Cuernavaca
Jeep,Compass,2022,10310,2.4 LIMITED AUTO,Automático,466999,Ciudad de México
Mg,Zs,2022,26747,1.5 EXCITE AUTO,Automático,277999,Ciudad de México
Kia,Niro,2019,48863,1.6 EX DCT,Automático,319999,Ciudad de México
Chevrolet,Spark Classic,2017,87662,1.2 LT B MT,Manual,139999,Ciudad de México
Kia,Sportage,2018,62202,2.0 LX AUTO,Automático,264999,Ciudad de México
Volkswagen,Vento,2021,33869,1.6 STARTLINE AUTO,Automático,232999,Ciudad de México
Mazda,Mazda 3,2016,86495,2.0 SEDAN I TOURING TA,Automático,203999,Guadalajara
Jeep,Cherokee,2017,59266,2.4 LIMITED PLUS,Automático,267999,Monterrey
Mg,Hs,2022,28883,2.0 TROPHY DCT AWD,Automático,354999,Ciudad de México
Nissan,X-Trail,2016,86757,2.5 EXCLUSIVE 2 ROW AUTO,Automático,248999,Ciudad de México
Honda,HR-V,2018,62000,1.8 UNIQ MT,Manual,270999,Ciudad de México
Renault,Stepway,2019,70002,1.6 INTENS MT,Manual,182999,Ciudad de México
Mazda,Mazda 6,2015,97000,2.5 I GRAND TOURING PLUS TA,Automático,219999,Monterrey
Chevrolet,Onix,2024,11707,1.0 PREMIER REDLINE E AUTO,Automático,308999,Ciudad de México
Kia,Soul,2020,31630,2.0 EX IVT AUTO,Automático,280999,Puebla
Volkswagen,Vento,2019,74329,1.6 STARTLINE,Manual,188999,Querétaro
Mazda,Mazda 3,2017,34177,2.5 SEDAN I TOURING TA,Automático,227999,Ciudad de México
Seat,Ibiza,2019,56591,1.6 XCELLENCE,Manual,245999,Ciudad de México
Volkswagen,Tiguan,2019,43000,1.4 COMFORTLINE PIEL DCT,Automático,370999,Puebla
Volkswagen,Jetta,2020,61415,1.4 RLINE AUTO,Automático,343999,Querétaro
Mg,Zs,2021,51000,1.5 EXCITE,Manual,245999,Puebla
Chevrolet,Onix,2021,28000,1.2 PREMIER G AUTO,Automático,242999,Ciudad de México
Kia,Soul,2020,44708,2.0 EX IVT AUTO,Automático,263999,Ciudad de México
Kia,Soul,2019,64693,1.6 LX AUTO,Automático,221999,Ciudad de México
Hyundai,Grand i10,2020,53134,1.2 GLS AUTO,Automático,208999,Ciudad de México
Kia,Seltos,2020,46814,1.4 GT LINE DCT,Automático,326999,Ciudad de México
Kia,Sportage,2020,59265,2.4 SX AUTO,Automático,342999,Ciudad de México
Baic,X65,2019,43207,2.0 COMFORT AUTO,Automático,229999,Querétaro
Kia,Optima,2018,92870,2.4 EX AUTO,Automático,243999,Ciudad de México
Mini,Cooper,2018,19680,1.5 COOPER SALT AUTO,Automático,291999,Ciudad de México
Jac,J7,2022,23800,1.5 QUANTUM CVT,Automático,282999,Ciudad de México
Buick,Enclave,2019,62397,3.6 AVENIR AUTO 4WD,Automático,468999,Ciudad de México
